slug,title,authors,date
march-23-digital-dialogue-beth-bonsignore-the-design-and-use-of-storykit-an-intergenerational-mobile-storytelling-app,"3/23 MITH Digital Dialogue: Beth Bonsignore, ""The Design and Use of StoryKit: An Intergenerational Mobile Storytelling App""",Digital Dialogues,3/17/2010 18:32
announcing-musical-theatre-online,Announcing Musical Theatre Online!,MITH,3/7/2010 9:44
doug-reside-promoted-to-asscoiate-director,Doug Reside Promoted to Associate Director!,MITH,3/1/2010 11:03
rescheduled-feburary-16th-digital-dialogue-dave-lester-collaborative-approaches-to-digital-humanities-unconferences-and-crowdsourcing,"2/16 MITH Digital Dialogue: Dave Lester, “Collaborative Approaches to Digital Humanities: Unconferences and Crowdsourcing”",Digital Dialogues,2/15/2010 10:35
rosenzweig-forum-for-the-digital-humanities,Rosenzweig Forum for the Digital Humanities,MITH,2/15/2010 10:33
reading-for-the-snowbound-and-the-rest-of-you,Reading for the Snowbound (and the Rest of You),MITH,2/11/2010 13:14
february-9th-digital-dialogue-dave-lester-collaborative-approaches-to-digital-humanities-unconferences-and-crowdsourcing,"2/9 MITH Digital Dialogue: Dave Lester, ""Collaborative Approaches to Digital Humanities: Unconferences and Crowdsourcing""",Digital Dialogues,2/3/2010 23:46
spring-2010-digital-dialogues-schedule,Spring 2010 Digital Dialogues Schedule,Digital Dialogues,2/1/2010 15:58
mith-in-the-news,MITH in the News,MITH,1/26/2010 12:12
december-15th-digital-dialogues-bonus-edition,December 15th Digital Dialogues Bonus Edition!,Digital Dialogues,12/11/2009 12:16
announcing-the-deena-larsen-collection,Announcing the Deena Larsen Collection,MITH,12/2/2009 23:23
mith-welcomes-dave-lester,MITH Welcomes Dave Lester,MITH,12/1/2009 11:47
shakespeare-quartos-archive-launched,Shakespeare Quartos Archive Launched,MITH,11/18/2009 20:08
1117-mith-digital-dialogue-jennifer-fleeger-archiving-america-the-vitaphone-the-dvd-and-warner-bros-restore-jazz-history,"11/17 MITH Digital Dialogue: Jennifer Fleeger, ""Archiving America: The Vitaphone, the DVD, and Warner Bros. (re)store Jazz History",Digital Dialogues,11/13/2009 14:56
greg-crane-podcast-now-available,Greg Crane Podcast Now Available,MITH,11/12/2009 14:43
centernet-joins-chain-gang,centerNet Joins CHAIN Gang,MITH,11/10/2009 18:22
chain,Coalition of Humanities and Arts Infrastructures and Networks - CHAIN,MITH,11/10/2009 14:44
fall-digital-dialogues-now-available,Fall Digital Dialogues Now Available,Digital Dialogues,11/4/2009 17:38
1111-mith-digital-dialogue-greg-crane-from-the-first-year-through-tenure-new-pathways-for-humanities-in-a-digital-age,"11/11 MITH Digital Dialogue: Greg Crane, ""From the First Year Through Tenure: New Pathways for Humanities in a Digital Age""",Digital Dialogues,11/4/2009 10:29
call-for-applications-miths-winnemore-digital-humanities-dissertation-fellowship,Call for Applications: MITH's Winnemore Digital Humanities Dissertation Fellowship,MITH,11/2/2009 21:27
coming-up-mith-113-ben-bederson-nick-chen-matt-kirschenbaum-the-great-ebook-throwdown,"Coming up @ MITH 11/3: Ben Bederson, Nick Chen, & Matt Kirschenbaum, ""The Great Ebook Throwdown""",Digital Dialogues,10/29/2009 14:03
mith-welcomes-dcc,MITH Welcomes DCC,MITH,10/24/2009 19:15
1027-mith-digital-dialogue-mark-sample-the-open-source-professor-teaching-research-and-transparency,"10/27 MITH Digital Dialogue: Mark Sample, ""The Open Source Professor: Teaching, Research, and Transparency""",Digital Dialogues,10/21/2009 8:22
an-evening-with-bruce-sterling,An Evening with Bruce Sterling,MITH,10/17/2009 8:56
