slug,title,authors,date
mith-fellowship-call-2007-8,MITH Fellowship Call 2007-8,MITH,3/12/2007 9:34
february-27th-digital-dialogue-lisa-gitelman-on-xerographers-of-the-mind-the-lost-idea-of-the-photocopy,2/27 Digital Dialogue: Lisa Gitelman,Digital Dialogues,2/21/2007 14:20
second-annual-nebraska-digital-workshop,Second Annual Nebraska Digital Workshop,MITH,2/15/2007 10:59
silvia-mejias-film-to-be-screened-at-scms,Silvia Mejia's Film to be Screened at SCMS,MITH,2/10/2007 16:17
registration-open-for-the-future-of-electronic-literature,Registration Open for the Future of Electronic Literature,MITH,2/9/2007 16:12
february-13th-digital-dialogue-artists-talk-brandon-morse,2/13 Digital Dialogue: Artist's Talk by Brandon Morse,Digital Dialogues,2/8/2007 11:17
mellon-gives-monk-a-million,Mellon Gives MONK a Million,MITH,2/2/2007 11:41
mith-welcomes-winnemore-dissertation-fellows,MITH Welcomes Winnemore Dissertation Fellows,MITH,1/30/2007 16:11
digitial-dialogues-spring-schedule-posted,Digital Dialogues Spring Schedule Posted,Digital Dialogues,1/29/2007 16:22
mith-joins-dc-technology-and-humanities-forum,MITH Joins DC Area Technology and Humanities Forum,MITH,1/22/2007 16:13
companion-to-digital-humanities-online,Companion to Digital Humanities Online,MITH,1/9/2007 8:42
may-2-3-mithelo-symposium-on-the-future-of-electronic-literature,May 2-3: MITH/ELO Symposium on the Future of Electronic Literature,MITH,1/5/2007 11:30
willard-mccartys-2006-lyman-lecture-the-imaginations-of-computing,"Willard McCarty's 2006 Lyman Lecture: ""The Imaginations of Computing""",MITH,12/13/2006 10:52
december-5th-digital-dialogue-jimmy-lin-presents-the-digital-docket-information-retrieval-meets-political-science,12/5 Digital Dialogue: Jimmy Lin,Digital Dialogues,11/30/2006 10:36
deadline-approaching-for-winnemore-dissertation-fellowship-and-graduate-travel-awards,Deadline Approaching for Winnemore Dissertation Fellowships and Graduate Travel Awards,MITH,11/28/2006 11:36
mith-podcasting-now-live,MITH Podcasting Now Live!,MITH,11/27/2006 12:13
1128-digital-dialogue-miths-own-doug-reside,11/28 Digital Dialogue: MITH's Own Doug Reside,Digital Dialogues,11/22/2006 9:02
mith-fellow-merle-collins-presents-work,MITH Fellow Merle Collins Presents Work,MITH,11/7/2006 11:10
november-7th-digital-dialogue-vika-zafrin-presents-the-virtual-humanities-lab-and-the-evolution-of-remote-collaboration,11/7 Digital Dialogue: Vika Zafrin,Digital Dialogues,11/2/2006 11:42
mith-graduate-student-travel-grants,MITH Graduate Student Travel Grants,MITH,11/2/2006 11:22
mith-podcasting,MITH Podcasting,MITH,11/1/2006 15:55
call-for-applicants-winnemore-digital-humanities-dissertation-fellowships,Call for Applicants: Winnemore Digital Humanities Dissertation Fellowships,MITH,11/1/2006 15:48
mith-fellow-angel-david-nieves-presents-work,MITH Fellow Angel David Nieves Presents Work,MITH,10/30/2006 11:51
electronic-literature-collection-volume-1-released,"Electronic Literature Collection, Volume 1 Released",MITH,10/30/2006 11:28
october-31st-digital-dialogue-calling-all-gamers,"10/31 Digital Dialogue: ""Calling All Gamers!""",Digital Dialogues,10/26/2006 9:46
byte-by-byte,Byte by Byte,MITH,10/25/2006 22:36
october-25th-digital-dialogue-doug-oard-the-malach-project-multilingual-access-to-large-spoken-archives,10/24 Digital Dialogue: Doug Oard,Digital Dialogues,10/19/2006 9:27
october-17th-digital-dialogue-susan-schreibman-beautiful-untrue-things-the-digital-dilemma,10/17 Digital Dialogue: Susan Schreibman,Digital Dialogues,10/12/2006 11:34
october-10th-digital-dialogue-daniel-pitti-social-software-why-would-i-want-to-consult-an-encyclopedia-that-would-have-me-as-a-contributer,10/10 Digital Dialogue: Daniel Pitti,Digital Dialogues,10/5/2006 9:04
october-3rd-digital-dialogue-timothy-stinson-polyvocality-in-digital-manuscript-archives,10/3 Digital Dialogue: Timothy Stinson,Digital Dialogues,9/28/2006 14:06
elo-plugs-into-new-hub-mith-maryland,ELO Plugs Into New Hub: MITH @ Maryland,MITH,9/25/2006 10:15
mith-community-archives-available,MITH-COMMUNITY Archives Available,MITH,9/21/2006 9:18
september-26th-digital-dialogue-kevin-bertram,9/26 Digital Dialogue: Kevin Bertram,Digital Dialogues,9/21/2006 9:00
september-19th-digital-dialogue-david-kirsch,9/19 Digital Dialogue: David Kirsch,Digital Dialogues,9/14/2006 12:01
fall-2006-digital-dialogues-schedule,Fall 2006 Digital Dialogues Schedule,Digital Dialogues,9/11/2006 13:50
september-12th-digital-dialogue-david-silver,9/12 Digital Dialogue: The September 11th Digital Archive,Digital Dialogues,9/7/2006 9:00
mith-welcomes-new-staff,MITH Welcomes New Staff,MITH,9/4/2006 19:13
september-5th-digital-dialogue-kimberlee-staking-and-nikki-stewart,9/5 Digital Dialogue: Kimberlee Staking and Nikki Stewart,Digital Dialogues,8/30/2006 10:43
new-digital-humanities-initiatives-from-neh,New Digital Humanities Initiatives from NEH,MITH,7/12/2006 10:05
position-available-assistant-director-of-mith,Position Available: Assistant Director of MITH,MITH,6/30/2006 14:46
carl-stahmer-in-new-role-as-research-associate,Carl Stahmer in New Role as Research Associate,MITH,6/30/2006 11:52
appointment-of-matthew-kirschenbaum-as-associate-director-of-mith,Appointment of Matthew Kirschenbaum as Associate Director of MITH,MITH,6/16/2006 20:13
appointment-of-professor-neil-fraistat-as-director-of-mith,Appointment of Professor Neil Fraistat as Director of MITH,MITH,6/6/2006 18:54
june-8th-coffeehouse-conversation-stan-ruecker,June 8th CoffeeHouse Conversation: Stan Ruecker,MITH,6/6/2006 7:05
a-morning-of-discussion-on-electronic-literature,April 28th: MITH Presents a Morning of Discussion on Electronic Literature,MITH,4/19/2006 11:47
april-25th-digital-dialogue-david-prager-branner-and-chip-manekin,4/25 Digital Dialogue: David Prager Branner and Chip Manekin,Digital Dialogues,4/19/2006 10:24
mith-is-hiring,MITH is Hiring,MITH,4/12/2006 7:33
petrou-lectures-on-new-media-storytelling-shelley-jackson-april-17th,"Petrou Lectures on New Media Storytelling: Shelley Jackson, April 17th",MITH,4/10/2006 14:19
nebraska-digital-workshop,Nebraska Digital Workshop,MITH,4/10/2006 14:13
vinton-cerf-and-bruce-cole-on-the-digital-humanities,Vinton Cerf and Bruce Cole on the Digital Humanities,MITH,3/29/2006 23:06
april-4th-digital-dialogue-ralph-bauer-and-marlene-mayo-on-their-digital-humanities-work-in-progress,4/4 Digital Dialogue: Ralph Bauer and Marlene Mayo on their Digital Humanities Work in Progress,Digital Dialogues,3/29/2006 22:53
mith-director-search-presentation,MITH Director Search Presentation,MITH,3/28/2006 10:38
march-29th-coffeehouse-conversation-on-scholarly-electronic-publishing,3/29 Coffeehouse Conversation on Scholarly Electronic Publishing,MITH,3/21/2006 15:38
march-28th-digital-dialogue-ali-and-ruppel-on-new-media-and-popular-culture,3/28 Digital Dialogue: Asim Ali and Marc Ruppel on New Media and Popular Culture,Digital Dialogues,3/21/2006 15:36
mith-announces-fellowship-calls-for-2006-7,MITH Announces Fellowship Calls for 2006-7,MITH,3/16/2006 11:09
the-library-in-bits-and-bytes-symposium-proceedings-online,The Library in Bits and Bytes: Symposium Proceedings Online,MITH,3/15/2006 8:16
elected-to-advisory-boards,Named to Advisory Boards,MITH,3/4/2006 12:55
announcing-mith-director-search,Announcing MITH Director Search,MITH,3/4/2006 12:54
mith-goes-to-capitol-hill,MITH Goes to Capitol Hill,MITH,3/3/2006 13:13
march-7th-digital-dialogue-scott-rettberg-wherefore-genre-categorizing-contemporary-new-media-writing,3/7 Digital Dialogue: Scott Rettberg,Digital Dialogues,2/28/2006 14:00
feb-28th-digital-dialogue-april-householder-the-brave-stepped-back-the-life-and-times-of-laskarina-bouboulina,2/28 Digital Dialogue: April Householder,Digital Dialogues,2/22/2006 14:49
kirschenbaum-to-speak-at-ut-austin,Kirschenbaum to Speak at UT Austin,MITH,2/22/2006 13:00
feb-21st-digital-dialogue-ben-shneiderman-creativity-and-computing-with-a-light-japanese-lunch,"2/21 Digital Dialogue: Ben Shneiderman, ""Creativity and Computing"" (with a light Japanese lunch!)",Digital Dialogues,2/15/2006 8:15
doing-digital-history-an-introduction-for-historians-of-science-technology-and-industry-june-12-16-2006,"Doing Digital History: An Introduction for Historians of Science, Technology, and Industry, June 12-16, 2006",MITH,2/15/2006 8:09
carl-stahmer-on-technology-and-intersectionality,"Carl Stahmer on  ""Technology and Intersectionality""",MITH,2/14/2006 6:55
mith-announces-spring-speakers-schedule,MITH Announces Spring Speakers Schedule,Digital Dialogues,2/9/2006 13:34
feb-14th-digital-dialogue-regina-harrisons-mined-to-death-film-screening-and-discussion-with-the-director,2/14 Digital Dialogue,Digital Dialogues,2/8/2006 14:32
unlclir-fellowship-abraham-lincoln-walt-whitman-and-washington-dc,"UNL/CLIR Fellowship: Abraham Lincoln, Walt Whitman, and Washington, D.C",MITH,2/8/2006 13:57
congratulations-to-mith-fellow-regina-harrison,Congratulations to MITH Fellow Regina Harrison,MITH,2/6/2006 11:58
welcome-to-miths-new-web-site,Welcome to MITH's New Web Site,MITH,2/1/2006 11:32
code-aesthetics-a-digital-dialogue,Code Aesthetics: A Digital Dialogue,Digital Dialogues,1/31/2006 11:08
feb-7th-digital-dialogue-william-gibsons-pattern-recognition,2/7 Digital Dialogue: William Gibson's Pattern Recognition,Digital Dialogues,1/31/2006 11:00
graduate-student-fellowship-and-award-recipients,Graduate Student Fellowship and Award Recipients,MITH,1/12/2006 12:38
nora-project-update,nora Project Update,MITH,1/9/2006 10:34
elo-and-mith-announce-partnership,ELO and MITH Announce Partnership,MITH,12/29/2005 2:00
miths-research-a-digital-dialogue,MITH's Research: A Digital Dialogue,Digital Dialogues,12/1/2005 15:00
high-speed-grid-computing-at-maryland-a-digital-dialogue,High Speed GRID Computing at Maryland: A Digital Dialogue,Digital Dialogues,11/22/2005 15:00
american-memory-re-imagined-a-digital-dialogue,American Memory Re-Imagined: A Digital Dialogue,Digital Dialogues,11/3/2005 15:00
coffeehouse-now-open,Coffeehouse now open!,MITH,10/24/2005 15:00
papiercraft-and-interactive-paper-a-digital-dialogue,PapierCraft and Interactive Paper: A Digital Dialogue,Digital Dialogues,10/15/2005 15:00
broadcasting-av-data-ga,Please welcome Emily Frazier as MITH's new Research Assistant!,Stephanie Sapienza,3/10/2021 10:23
unlocking-the-airwaves-launch,On Forks and Completion: Reflections on a Five-year Digital Humanities Project,Stephanie Sapienza,7/29/2021 9:00
public-humanities-digital-institute,MITH and Lakeland at the 2022 Public Digital Humanities Institute!,Stephanie Sapienza,12/1/2021 14:12
mith-hiring-data-curation-assistant-summer2022,MITH is Hiring a Summer 2022 Student Assistant!,Stephanie Sapienza,5/3/2022 13:47
